"id";"membrane_id";"species_id";"cell";"pub";"publink";"pc";"pe";"pi";"ps";"pa";"cl";"sph";"ch";"cb";"sl";"pips";"pilpe";"lpc";"pg";"other"
11;14;36;"Budding Yeast";"J Bacteriol. 1991 Mar;173(6):2026-34. Phospholipid synthesis and lipid composition of subcellular membranes in the unicellular eukaryote Saccharomyces cerevisiae.";"http://www.ncbi.nlm.nih.gov/pubmed/2002005?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=1&log$=relatedarticles&logdbfrom=pubmed";35.0;22.3;19.1;12.9;1.2;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
12;13;36;"Budding Yeast";"J Bacteriol. 1991 Mar;173(6):2026-34. Phospholipid synthesis and lipid composition of subcellular membranes in the unicellular eukaryote Saccharomyces cerevisiae.";"http://www.ncbi.nlm.nih.gov/pubmed/2002005?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=1&log$=relatedarticles&logdbfrom=pubmed";46.5;19.4;18.3;4.4;2.1;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
13;10;36;"Budding Yeast";"J Bacteriol. 1991 Mar;173(6):2026-34. Phospholipid synthesis and lipid composition of subcellular membranes in the unicellular eukaryote Saccharomyces cerevisiae.";"http://www.ncbi.nlm.nih.gov/pubmed/2002005?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=1&log$=relatedarticles&logdbfrom=pubmed";44.6;26.9;15.1;5.9;2.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
14;11;36;"Budding Yeast";"J Bacteriol. 1991 Mar;173(6):2026-34. Phospholipid synthesis and lipid composition of subcellular membranes in the unicellular eukaryote Saccharomyces cerevisiae.";"http://www.ncbi.nlm.nih.gov/pubmed/2002005?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=1&log$=relatedarticles&logdbfrom=pubmed";48.2;22.9;15.8;4.5;1.6;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
15;6;36;"Light Microsomes";"J Bacteriol. 1991 Mar;173(6):2026-34. Phospholipid synthesis and lipid composition of subcellular membranes in the unicellular eukaryote Saccharomyces cerevisiae.";"http://www.ncbi.nlm.nih.gov/pubmed/2002005?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=1&log$=relatedarticles&logdbfrom=pubmed";51.3;33.4;7.5;6.6;0.2;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
16;19;36;"Budding Yeast";"J Bacteriol. 1991 Mar;173(6):2026-34. Phospholipid synthesis and lipid composition of subcellular membranes in the unicellular eukaryote Saccharomyces cerevisiae.";"http://www.ncbi.nlm.nih.gov/pubmed/2002005?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=1&log$=relatedarticles&logdbfrom=pubmed";45.6;32.6;10.2;1.2;4.4;5.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
17;5;36;"Budding Yeast";"J Bacteriol. 1991 Mar;173(6):2026-34. Phospholipid synthesis and lipid composition of subcellular membranes in the unicellular eukaryote Saccharomyces cerevisiae.";"http://www.ncbi.nlm.nih.gov/pubmed/2002005?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=1&log$=relatedarticles&logdbfrom=pubmed";38.4;24.0;16.2;3.8;1.5;16.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
18;4;113;"Erythrocytes";"Biochimie. 2007 Feb;89(2):205-12. Exosome lipidomics unravels lipid sorting at the level of multivesicular bodies.";"http://www.ncbi.nlm.nih.gov/pubmed/17157973?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum";43.2;28.3;0.0;0.0;0.0;0.0;12.1;0.0;0.0;0.0;15.8;0.0;0.0;0.0;""
19;4;55;"Mast Cells (RBL-2H3 rat cell line, Wistar, leukemia, basophilic)";"Biochimie. 2007 Feb;89(2):205-12. Exosome lipidomics unravels lipid sorting at the level of multivesicular bodies.";"http://www.ncbi.nlm.nih.gov/pubmed/17157973?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum";50.0;25.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;15.0;0.0;5.0;0.0;""
20;4;14;"Dendritic cells";"Biochimie. 2007 Feb;89(2):205-12. Exosome lipidomics unravels lipid sorting at the level of multivesicular bodies.";"http://www.ncbi.nlm.nih.gov/pubmed/17157973?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum";43.0;23.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;12.0;0.0;13.0;0.0;""
21;4;14;"Reticular Nucleus (RN) cells";"J Biol Chem. 2003 Mar 28;278(13):10963-72. Proteomic and biochemical analyses of human B cell-derived exosomes. Potential implications for their function and multivesicular body formation.";"http://www.ncbi.nlm.nih.gov/pubmed/12519789?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=3&log$=relatedarticles&logdbfrom=pubmed";34.0;27.5;0.0;0.0;0.0;6.3;12.6;19.6;0.0;0.0;0.0;0.0;0.0;0.0;""
22;4;14;"Human T cell Lymphotropic Virus-I (HTLV-I) carrying cells (MT-4 cell line)";"Proc Natl Acad Sci U S A. 2006 Feb 21;103(8):2641-6. The HIV lipidome: a raft with an unusual composition.";"http://www.ncbi.nlm.nih.gov/pubmed/16481622?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum";43.0;32.9;0.0;7.4;0.0;0.0;10.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
23;15;159;"HIV-1";"Proc Natl Acad Sci U S A. 2006 Feb 21;103(8):2641-6. The HIV lipidome: a raft with an unusual composition.";"http://www.ncbi.nlm.nih.gov/pubmed/16481622?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum";16.0;35.2;0.0;15.5;0.0;0.0;33.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
